State,2023 Planted for All Purposes,2024 Planted for All Purposes,2023 Area Harvested for Grain,2024 Area Harvested for Grain
Alabama,330,340,320,325
Arizona,105,95,38,24
Arkansas,850,620,830,600
California,400,420,40,60
Colorado,1330,1370,1015,1100
Connecticut,24,24,NA,NA
Delaware,175,180,172,177
Florida,90,80,62,45
Georgia,485,440,440,400
Idaho,360,330,115,110
Illinois,11200,10900,11050,10750
Indiana,5450,5100,5310,4960
Iowa,13100,13100,12550,12550
Kansas,5750,6300,5150,5800
Kentucky,1600,1550,1500,1450
Louisiana,700,510,680,495
Maine,28,30,NA,NA
Maryland,480,490,440,450
Massachusetts,14,15,NA,NA
Michigan,2400,2150,2060,1810
Minnesota,8600,8100,8180,7550
Mississippi,790,580,770,560
Missouri,3850,3500,3670,3310
Montana,135,110,68,59
Nebraska,9950,10100,9500,9700
Nevada,13,13,NA,NA
New Hampshire,13,14,NA,NA
New Jersey,74,80,65,75
New Mexico,125,105,47,36
New York,1040,1030,600,580
North Carolina,950,910,900,860
North Dakota,4050,3800,3800,3500
Ohio,3600,3400,3400,3170
Oklahoma,390,370,340,320
Oregon,95,100,55,60
Pennsylvania,1040,1100,680,750
Rhode Island,2,2,NA,NA
South Carolina,365,380,350,360
South Dakota,6300,6100,5620,5440
Tennessee,940,850,890,800
Texas,2500,2100,2100,1700
Utah,75,75,27,34
Vermont,89,94,NA,NA
Virginia,495,500,375,380
Washington,160,200,75,105
West Virginia,44,43,32,32
Wisconsin,4000,3700,3140,2900
Wyoming,85,75,57,51
United States,94641,91475,86513,83438