State,2023 planted for all purposes,2024 planted for all purposes,2023 area harvested for grain,2024 area harvested for grain
Alabama,175.0,170.0,171.0,167.0
Arkansas,35.0,35.0,34.0,34.0
Florida,160.0,170.0,152.0,161.0
Georgia,775.0,850.0,770.0,845.0
Mississippi,18.0,21.0,16.0,20.0
Missouri,(NA),22.0,(NA),21.0
New Mexico,11.0,(NA),10.0,(NA)
North Carolina,124.0,125.0,123.0,124.0
Oklahoma,16.0,15.0,15.0,14.0
South Carolina,77.0,85.0,74.0,82.0
Texas,225.0,240.0,180.0,210.0
Virginia,29.0,24.0,29.0,24.0
United States,1645.0,1757.0,1574.0,1702.0