State,2023 Planted,2024 Planted,2023 Harvested,2024 Harvested
Alabama,205,120,145,75
Arizona,38,60,37,59
Arkansas,230,140,165,95
California,338,305,97,98
Colorado,2300,2100,1820,1830
Delaware,80,70,69,48
Georgia,195,145,85,70
Idaho,1170,1210,1035,1130
Illinois,840,770,780,700
Indiana,405,320,335,250
Kansas,8100,7700,5750,7150
Kentucky,610,560,460,410
Maryland,340,325,195,175
Michigan,600,420,560,375
Minnesota,1300,1550,1260,1500
Mississippi,120,70,95,40
Missouri,780,680,600,520
Montana,5255,5280,5025,5080
Nebraska,1130,1000,880,900
New Jersey,34,NA,32,NA
New Mexico,405,380,85,95
New York,150,135,120,100
North Carolina,480,410,400,320
North Dakota,6610,6920,6530,6730
Ohio,650,530,590,460
Oklahoma,4550,4350,2450,2700
Oregon,740,730,725,715
Pennsylvania,280,240,230,160
South Carolina,110,85,95,75
South Dakota,1660,1590,1350,1450
Tennessee,470,380,390,310
Texas,6400,5700,2100,2450
Utah,105,105,87,90
Virginia,200,150,135,85
Washington,2300,2340,2240,2275
Wisconsin,280,265,230,190
Wyoming,115,105,90,75
United States,49575,47240,37272,38785