State,2023 Planted,2024 Planted,2023 Harvested
Alabama,380.0,450.0,374.0
Arizona,92.0,112.0,91.0
Arkansas,510.0,670.0,505.0
California,98.0,148.0,94.8
Florida,89.0,90.0,87.0
Georgia,1110.0,1100.0,1100.0
Kansas,112.0,110.0,94.0
Louisiana,120.0,120.0,115.0
Mississippi,400.0,520.0,395.0
Missouri,335.0,400.0,330.0
New Mexico,49.0,30.0,33.8
North Carolina,380.0,410.0,370.0
Oklahoma,420.0,460.0,180.0
South Carolina,210.0,240.0,207.0
Tennessee,265.0,300.0,260.0
Texas,5579.0,6430.0,2123.0
Virginia,81.0,80.0,80.0
United States,10230.0,11670.0,6439.6