State,sorghum,soybean,hay,flaxseed,canola,safflower,barley,peanut,proso_millet,other_spring_wheat,dry_edible_pea,winter_wheat,sugarbeet,lentil,rice,chickpeas,rye,cotton,sugarcane,oat,tobacco,corn_planted,sunflower,wheat,dry_edible_bean,potato,durum_wheat
Alabama,,350.0,680.0,,,,,175.0,,,,205.0,,,,,,380.0,,,,330.0,,205.0,,,
Alaska,,,20.0,,,,7.0,,,,,,,,,,,,,,,,,,,,
Arizona,,,345.0,,,,17.0,,,,,,,,,,,92.0,,,,105.0,,38.0,,,38.0
Arkansas,,2980.0,1162.0,,,,,35.0,,,,230.0,,,1436.0,,,510.0,,8.0,,850.0,,230.0,,,
California,,,830.0,,,22.0,40.0,,,,,320.0,23.0,,515.0,4.4,,98.0,,90.0,,400.0,28.5,338.0,16.0,23.0,18.0
Colorado,510.0,,1220.0,,,(NA),54.0,,390.0,,,2300.0,23.2,,,,,,,,,1330.0,34.0,2300.0,33.0,55.0,
Connecticut,,,53.0,,,,,,,,,,,,,,,,,,,24.0,,,,,
Delaware,,150.0,12.0,,,,21.0,,,,,80.0,,,,,,,,,,175.0,,80.0,,,
Florida,,,320.0,,,,,160.0,,,,,,,,,,89.0,407.6,,,90.0,,,,21.0,
Georgia,,160.0,510.0,,,,,775.0,,,,195.0,,,,,,1110.0,,55.0,6300.0,485.0,,195.0,,,
Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,,,1300.0,,(NA),26.0,570.0,,,410.0,19.0,750.0,175.0,18.0,,72.0,,,,45.0,,360.0,,1170.0,35.0,330.0,10.0
Illinois,,10350.0,410.0,,,,,,,,,840.0,,,,,,,,55.0,,11200.0,,840.0,,,
Indiana,,5500.0,530.0,,,,,,,,,405.0,,,,,,,,,,5450.0,,405.0,,,
Iowa,,9950.0,1010.0,,,,,,,,,,,,,,,,,190.0,,13100.0,,,,,
Kansas,3600.0,4430.0,2795.0,,1.5,,16.0,,,,,8100.0,,,,,,112.0,,185.0,,5750.0,34.0,8100.0,,,
Kentucky,,1830.0,2070.0,,,,,,,,,610.0,,,,,,,,,36800.0,1600.0,,610.0,,,
Louisiana,,1030.0,390.0,,,,,,,,,,,,468.0,,,120.0,505.5,,,700.0,,,,,
Maine,,,128.0,,,,11.0,,,,,,,,,,,,,22.0,,28.0,,,,53.0,
Maryland,,470.0,205.0,,,,31.0,,,,,340.0,,,,,,,,,,480.0,,340.0,,,
Massachusetts,,,54.0,,,,,,,,,,,,,,,,,,,14.0,,,,,
Michigan,,2040.0,780.0,,,,7.0,,,,,600.0,133.0,,,,,,,50.0,,2400.0,,600.0,210.0,50.0,
Minnesota,,7350.0,1070.0,,80.0,,60.0,,,1300.0,,,442.0,,,,75,,,165.0,,8600.0,58.5,1300.0,210.0,46.0,
Mississippi,,2180.0,580.0,,,,,18.0,,,,120.0,,,121.0,,,400.0,,,,790.0,,120.0,,,
Missouri,,5600.0,3855.0,,,,,(NA),,,,780.0,,,205.0,,,335.0,,32.0,,3850.0,,780.0,,,
Montana,,,2700.0,68.0,165.0,47.0,1190.0,,,2700.0,580.0,1850.0,23.7,390.0,,174.0,,,,65.0,,135.0,,5255.0,,,705.0
Nebraska,340.0,5250.0,2285.0,,,,,,155.0,,21.0,1130.0,46.7,,,,,,,155.0,,9950.0,39.5,1130.0,100.0,22.0,
Nevada,,,380.0,,,,,,,,,,,,,,,,,,,13.0,,,,,
New Hampshire,,,41.0,,,,,,,,,,,,,,,,,,,13.0,,,,,
New Jersey,,100.0,97.0,,,,,,,,,34.0,,,,,,,,,,74.0,,34.0,,,
New Mexico,,,265.0,,,,,11.0,,,,405.0,,,,,,49.0,,,,125.0,,405.0,,,
New York,,350.0,1120.0,,,,9.0,,,,,150.0,,,,,,,,61.0,,1040.0,,150.0,,,
North Carolina,,1640.0,657.0,,,,16.0,124.0,,,,480.0,,,,,,380.0,,37.0,113120.0,950.0,,480.0,,,
North Dakota,,6200.0,2790.0,110.0,1930.0,,690.0,,,5550.0,270.0,155.0,229.0,93.0,,22.0,96,,,280.0,,4050.0,575.0,6610.0,530.0,76.0,905.0
Ohio,,4750.0,810.0,,,,,,,,,650.0,,,,,,,,40.0,,3600.0,,650.0,,,
Oklahoma,410.0,460.0,4075.0,,3.0,,,16.0,,,,4550.0,,,,,260,420.0,,140.0,,390.0,,4550.0,,,
Oregon,,,900.0,,,,41.0,,,,,740.0,10.8,,,,,,,20.0,,95.0,,740.0,,45.0,
Pennsylvania,,570.0,1200.0,,,,47.0,,,,,280.0,,,,,185,,,70.0,3140.0,1040.0,,280.0,,,
Rhode Island,,,6.0,,,,,,,,,,,,,,,,,,,2.0,,,,,
South Carolina,,395.0,260.0,,,,,77.0,,,,110.0,,,,,,210.0,,,5900.0,365.0,,110.0,,,
South Dakota,335.0,5100.0,2955.0,,,17.0,38.0,,74.0,740.0,14.0,920.0,,,,,(D),,,265.0,,6300.0,495.0,1660.0,,,
Tennessee,,1600.0,1716.0,,,,,,,,,470.0,,,,,,265.0,,,9300.0,940.0,,470.0,,,
Texas,2000.0,125.0,4685.0,,,,,225.0,,,,6400.0,,,149.0,,,5579.0,16.5,390.0,,2500.0,50.5,6400.0,,16.0,
Utah,,,660.0,,,17.5,16.0,,,,,105.0,,,,,,,,,,75.0,,105.0,,,
Vermont,,,165.0,,,,,,,,,,,,,,,,,,,89.0,,,,,
Virginia,,580.0,1155.0,,,,30.0,29.0,,,,200.0,,,,,,81.0,,,13070.0,495.0,,200.0,,,
Washington,,,840.0,,165.0,,95.0,,,500.0,62.0,1800.0,2.0,45.0,,100.0,,,,,,160.0,,2300.0,32.0,160.0,
West Virginia,,,610.0,,,,,,,,,,,,,,,,,,,44.0,,,,,
Wisconsin,,2110.0,1030.0,,,,12.0,,,,,280.0,,,,,240,,,135.0,,4000.0,,280.0,,68.0,
Wyoming,,,1090.0,,,,83.0,,,,,115.0,29.0,,,,,,,,,85.0,,115.0,14.0,,
